"REGION","TECHNOLOGY","YEAR","Val"
"ATX","WINDPP","2018",1557.682
"ATX","WINDPP","2019",1550.73
"ATX","WINDPP","2020",1542.148
"ATX","WINDPP","2021",1540.115
"ATX","WINDPP","2022",1536.708
"ATX","WINDPP","2023",1531.952
"ATX","WINDPP","2024",1525.873
"ATX","WINDPP","2025",1518.497
"ATX","WINDPP","2026",1509.849
"ATX","WINDPP","2027",1499.955
"ATX","WINDPP","2028",1488.84
"ATX","WINDPP","2029",1476.531
"ATX","WINDPP","2030",1463.053
"ATX","WINDPP","2031",1470.501
"ATX","WINDPP","2032",1477.201
"ATX","WINDPP","2033",1483.166
"ATX","WINDPP","2034",1488.405
"ATX","WINDPP","2035",1492.93
"ATX","WINDPP","2036",1496.751
"ATX","WINDPP","2037",1499.879
"ATX","WINDPP","2038",1502.326
"ATX","WINDPP","2039",1504.101
"ATX","WINDPP","2040",1505.215
"ATX","WINDPP","2041",1505.68
"ATX","WINDPP","2042",1505.506
"ATX","WINDPP","2043",1504.705
"ATX","WINDPP","2044",1503.286
"ATX","WINDPP","2045",1501.26
"ATX","WINDPP","2046",1498.639
"ATX","WINDPP","2047",1495.434
"ATX","WINDPP","2048",1491.654
"ATX","WINDPP","2049",1487.311
"ATX","WINDPP","2050",1482.416
"ATX","SOLPP","2015",1988.36
"ATX","SOLPP","2016",1493.91
"ATX","SOLPP","2017",1203.622
"ATX","SOLPP","2018",1133.419
"ATX","SOLPP","2019",1093.303
"ATX","SOLPP","2020",1032.981
"ATX","SOLPP","2021",1020.614
"ATX","SOLPP","2022",1008.247
"ATX","SOLPP","2023",995.88
"ATX","SOLPP","2024",983.513
"ATX","SOLPP","2025",971.146
"ATX","SOLPP","2026",958.779
"ATX","SOLPP","2027",946.412
"ATX","SOLPP","2028",934.045
"ATX","SOLPP","2029",921.678
"ATX","SOLPP","2030",909.311
"ATX","SOLPP","2031",899.207
"ATX","SOLPP","2032",889.104
"ATX","SOLPP","2033",879
"ATX","SOLPP","2034",868.897
"ATX","SOLPP","2035",858.793
"ATX","SOLPP","2036",848.69
"ATX","SOLPP","2037",838.587
"ATX","SOLPP","2038",828.483
"ATX","SOLPP","2039",818.38
"ATX","SOLPP","2040",808.276
"ATX","SOLPP","2041",799.071
"ATX","SOLPP","2042",789.865
"ATX","SOLPP","2043",780.659
"ATX","SOLPP","2044",771.454
"ATX","SOLPP","2045",762.248
"ATX","SOLPP","2046",753.042
"ATX","SOLPP","2047",743.837
"ATX","SOLPP","2048",734.631
"ATX","SOLPP","2049",725.425
"ATX","SOLPP","2050",716.22
"ATX","BIOPP","2015",3736.935
"ATX","BIOPP","2016",3730.294
"ATX","BIOPP","2017",3701.01
"ATX","BIOPP","2018",3699.734
"ATX","BIOPP","2019",3695.467
"ATX","BIOPP","2020",3674.666
"ATX","BIOPP","2021",3659.271
"ATX","BIOPP","2022",3659.094
"ATX","BIOPP","2023",3645.484
"ATX","BIOPP","2024",3636.269
"ATX","BIOPP","2025",3635.424
"ATX","BIOPP","2026",3615.815
"ATX","BIOPP","2027",3594.145
"ATX","BIOPP","2028",3575.353
"ATX","BIOPP","2029",3562.269
"ATX","BIOPP","2030",3547.53
"ATX","BIOPP","2031",3532.182
"ATX","BIOPP","2032",3513.873
"ATX","BIOPP","2033",3497.795
"ATX","BIOPP","2034",3487.368
"ATX","BIOPP","2035",3473.104
"ATX","BIOPP","2036",3457.096
"ATX","BIOPP","2037",3439.452
"ATX","BIOPP","2038",3428.493
"ATX","BIOPP","2039",3416.257
"ATX","BIOPP","2040",3399.521
"ATX","BIOPP","2041",3384.626
"ATX","BIOPP","2042",3372.102
"ATX","BIOPP","2043",3359.798
"ATX","BIOPP","2044",3346.782
"ATX","BIOPP","2045",3332.788
"ATX","BIOPP","2046",3319.942
"ATX","BIOPP","2047",3305.96
"ATX","BIOPP","2048",3289.671
"ATX","BIOPP","2049",3276.769
"ATX","BIOPP","2050",3243.273
"ATX","CCCCSPP","2015",2108.717
"ATX","CCCCSPP","2016",2108.717
"ATX","CCCCSPP","2017",2090.581
"ATX","CCCCSPP","2018",2088.274
"ATX","CCCCSPP","2019",2084.275
"ATX","CCCCSPP","2020",2074.142
"ATX","CCCCSPP","2021",2063.467
"ATX","CCCCSPP","2022",2058.481
"ATX","CCCCSPP","2023",2045.918
"ATX","CCCCSPP","2024",2035.816
"ATX","CCCCSPP","2025",2027.433
"ATX","CCCCSPP","2026",2005.094
"ATX","CCCCSPP","2027",1983.769
"ATX","CCCCSPP","2028",1956.104
"ATX","CCCCSPP","2029",1936.029
"ATX","CCCCSPP","2030",1914.369
"ATX","CCCCSPP","2031",1897.249
"ATX","CCCCSPP","2032",1879.144
"ATX","CCCCSPP","2033",1861.425
"ATX","CCCCSPP","2034",1846.784
"ATX","CCCCSPP","2035",1833.091
"ATX","CCCCSPP","2036",1816.899
"ATX","CCCCSPP","2037",1799.539
"ATX","CCCCSPP","2038",1787.386
"ATX","CCCCSPP","2039",1773.235
"ATX","CCCCSPP","2040",1758.423
"ATX","CCCCSPP","2041",1744.144
"ATX","CCCCSPP","2042",1732.13
"ATX","CCCCSPP","2043",1719.778
"ATX","CCCCSPP","2044",1707.273
"ATX","CCCCSPP","2045",1696.329
"ATX","CCCCSPP","2046",1686.27
"ATX","CCCCSPP","2047",1675.632
"ATX","CCCCSPP","2048",1663.827
"ATX","CCCCSPP","2049",1653.414
"ATX","CCCCSPP","2050",1630.146
"ATX","IGCCCCSPP","2015",5447.6
"ATX","IGCCCCSPP","2016",5447.6
"ATX","IGCCCCSPP","2017",5402.093
"ATX","IGCCCCSPP","2018",5397.479
"ATX","IGCCCCSPP","2019",5388.495
"ATX","IGCCCCSPP","2020",5386.254
"ATX","IGCCCCSPP","2021",5368.398
"ATX","IGCCCCSPP","2022",5364.66
"ATX","IGCCCCSPP","2023",5341.213
"ATX","IGCCCCSPP","2024",5324.202
"ATX","IGCCCCSPP","2025",5319.427
"ATX","IGCCCCSPP","2026",5287.191
"ATX","IGCCCCSPP","2027",5251.951
"ATX","IGCCCCSPP","2028",5220.93
"ATX","IGCCCCSPP","2029",5198.248
"ATX","IGCCCCSPP","2030",5173.153
"ATX","IGCCCCSPP","2031",5147.168
"ATX","IGCCCCSPP","2032",5116.875
"ATX","IGCCCCSPP","2033",5089.839
"ATX","IGCCCCSPP","2034",5071.022
"ATX","IGCCCCSPP","2035",5046.623
"ATX","IGCCCCSPP","2036",5019.693
"ATX","IGCCCCSPP","2037",4990.393
"ATX","IGCCCCSPP","2038",4970.792
"ATX","IGCCCCSPP","2039",4949.336
"ATX","IGCCCCSPP","2040",4921.361
"ATX","IGCCCCSPP","2041",4896.055
"ATX","IGCCCCSPP","2042",4874.177
"ATX","IGCCCCSPP","2043",4852.615
"ATX","IGCCCCSPP","2044",4830.02
"ATX","IGCCCCSPP","2045",4806.015
"ATX","IGCCCCSPP","2046",4783.662
"ATX","IGCCCCSPP","2047",4759.67
"ATX","IGCCCCSPP","2048",4732.359
"ATX","IGCCCCSPP","2049",4709.341
"ATX","IGCCCCSPP","2050",4652.251
"ATX","H2FUELCELL","2015",1000
"ATX","H2FUELCELL","2016",1000
"ATX","H2FUELCELL","2017",1000
"ATX","H2FUELCELL","2018",1000
"ATX","H2FUELCELL","2019",1000
"ATX","H2FUELCELL","2020",1000
"ATX","H2FUELCELL","2021",1000
"ATX","H2FUELCELL","2022",1000
"ATX","H2FUELCELL","2023",1000
"ATX","H2FUELCELL","2024",1000
"ATX","H2FUELCELL","2025",1000
"ATX","H2FUELCELL","2026",1000
"ATX","H2FUELCELL","2027",1000
"ATX","H2FUELCELL","2028",1000
"ATX","H2FUELCELL","2029",1000
"ATX","H2FUELCELL","2030",1000
"ATX","H2FUELCELL","2031",1000
"ATX","H2FUELCELL","2032",1000
"ATX","H2FUELCELL","2033",1000
"ATX","H2FUELCELL","2034",1000
"ATX","H2FUELCELL","2035",1000
"ATX","H2FUELCELL","2036",1000
"ATX","H2FUELCELL","2037",1000
"ATX","H2FUELCELL","2038",1000
"ATX","H2FUELCELL","2039",1000
"ATX","H2FUELCELL","2040",1000
"ATX","H2FUELCELL","2041",1000
"ATX","H2FUELCELL","2042",1000
"ATX","H2FUELCELL","2043",1000
"ATX","H2FUELCELL","2044",1000
"ATX","H2FUELCELL","2045",1000
"ATX","H2FUELCELL","2046",1000
"ATX","H2FUELCELL","2047",1000
"ATX","H2FUELCELL","2048",1000
"ATX","H2FUELCELL","2049",1000
"ATX","H2FUELCELL","2050",1000
"ATX","BATTERY","2015",494
"ATX","BATTERY","2016",434.72
"ATX","BATTERY","2017",382.5536
"ATX","BATTERY","2018",336.647168
"ATX","BATTERY","2019",296.2495078
"ATX","BATTERY","2020",260.6995669
"ATX","BATTERY","2021",229.4156189
"ATX","BATTERY","2022",201.8857446
"ATX","BATTERY","2023",177.6594553
"ATX","BATTERY","2024",156.3403206
"ATX","BATTERY","2025",137.5794821
"ATX","BATTERY","2026",121.0699443
"ATX","BATTERY","2027",106.541551
"ATX","BATTERY","2028",93.75656486
"ATX","BATTERY","2029",82.50577708
"ATX","BATTERY","2030",72.60508383
"ATX","BATTERY","2031",63.89247377
"ATX","BATTERY","2032",56.22537692
"ATX","BATTERY","2033",49.47833169
"ATX","BATTERY","2034",43.54093188
"ATX","BATTERY","2035",38.31602006
"ATX","BATTERY","2036",33.71809765
"ATX","BATTERY","2037",29.67192593
"ATX","BATTERY","2038",26.11129482
"ATX","BATTERY","2039",22.97793944
"ATX","BATTERY","2040",20.22058671
"ATX","BATTERY","2041",17.7941163
"ATX","BATTERY","2042",15.65882235
"ATX","BATTERY","2043",13.77976367
"ATX","BATTERY","2044",12.12619203
"ATX","BATTERY","2045",10.67104898
"ATX","BATTERY","2046",9.390523105
"ATX","BATTERY","2047",8.263660332
"ATX","BATTERY","2048",7.272021092
"ATX","BATTERY","2049",6.399378561
"ATX","BATTERY","2050",5.631453134
"ATX","V2G","2015",741
"ATX","V2G","2016",652.08
"ATX","V2G","2017",573.8304
"ATX","V2G","2018",504.970752
"ATX","V2G","2019",444.3742617
"ATX","V2G","2020",391.04935035
"ATX","V2G","2021",344.12342835
"ATX","V2G","2022",302.8286169
"ATX","V2G","2023",266.48918295
"ATX","V2G","2024",234.5104809
"ATX","V2G","2025",206.36922315
"ATX","V2G","2026",181.60491645
"ATX","V2G","2027",159.8123265
"ATX","V2G","2028",140.63484729
"ATX","V2G","2029",123.75866562
"ATX","V2G","2030",108.907625745
"ATX","V2G","2031",95.838710655
"ATX","V2G","2032",84.33806538
"ATX","V2G","2033",74.217497535
"ATX","V2G","2034",65.31139782
"ATX","V2G","2035",57.47403009
"ATX","V2G","2036",50.577146475
"ATX","V2G","2037",44.507888895
"ATX","V2G","2038",39.16694223
"ATX","V2G","2039",34.46690916
"ATX","V2G","2040",30.330880065
"ATX","V2G","2041",26.69117445
"ATX","V2G","2042",23.488233525
"ATX","V2G","2043",20.669645505
"ATX","V2G","2044",18.189288045
"ATX","V2G","2045",16.00657347
"ATX","V2G","2046",14.0857846575
"ATX","V2G","2047",12.395490498
"ATX","V2G","2048",10.908031638
"ATX","V2G","2049",9.5990678415
"ATX","V2G","2050",8.447179701
"ATX","V2G_F","2015",741
"ATX","V2G_F","2016",652.08
"ATX","V2G_F","2017",573.8304
"ATX","V2G_F","2018",504.970752
"ATX","V2G_F","2019",444.3742617
"ATX","V2G_F","2020",391.04935035
"ATX","V2G_F","2021",344.12342835
"ATX","V2G_F","2022",302.8286169
"ATX","V2G_F","2023",266.48918295
"ATX","V2G_F","2024",234.5104809
"ATX","V2G_F","2025",206.36922315
"ATX","V2G_F","2026",181.60491645
"ATX","V2G_F","2027",159.8123265
"ATX","V2G_F","2028",140.63484729
"ATX","V2G_F","2029",123.75866562
"ATX","V2G_F","2030",108.907625745
"ATX","V2G_F","2031",95.838710655
"ATX","V2G_F","2032",84.33806538
"ATX","V2G_F","2033",74.217497535
"ATX","V2G_F","2034",65.31139782
"ATX","V2G_F","2035",57.47403009
"ATX","V2G_F","2036",50.577146475
"ATX","V2G_F","2037",44.507888895
"ATX","V2G_F","2038",39.16694223
"ATX","V2G_F","2039",34.46690916
"ATX","V2G_F","2040",30.330880065
"ATX","V2G_F","2041",26.69117445
"ATX","V2G_F","2042",23.488233525
"ATX","V2G_F","2043",20.669645505
"ATX","V2G_F","2044",18.189288045
"ATX","V2G_F","2045",16.00657347
"ATX","V2G_F","2046",14.0857846575
"ATX","V2G_F","2047",12.395490498
"ATX","V2G_F","2048",10.908031638
"ATX","V2G_F","2049",9.5990678415
"ATX","V2G_F","2050",8.447179701
"ATX","ICE_PET","2015",27
"ATX","ICE_PET","2016",27
"ATX","ICE_PET","2017",27
"ATX","ICE_PET","2018",27
"ATX","ICE_PET","2019",27
"ATX","ICE_PET","2020",27
"ATX","ICE_PET","2021",27
"ATX","ICE_PET","2022",27
"ATX","ICE_PET","2023",27
"ATX","ICE_PET","2024",27
"ATX","ICE_PET","2025",27
"ATX","ICE_PET","2026",27
"ATX","ICE_PET","2027",27
"ATX","ICE_PET","2028",27
"ATX","ICE_PET","2029",27
"ATX","ICE_PET","2030",27
"ATX","ICE_PET","2031",27
"ATX","ICE_PET","2032",27
"ATX","ICE_PET","2033",27
"ATX","ICE_PET","2034",27
"ATX","ICE_PET","2035",27
"ATX","ICE_PET","2036",27
"ATX","ICE_PET","2037",27
"ATX","ICE_PET","2038",27
"ATX","ICE_PET","2039",27
"ATX","ICE_PET","2040",27
"ATX","ICE_PET","2041",27
"ATX","ICE_PET","2042",27
"ATX","ICE_PET","2043",27
"ATX","ICE_PET","2044",27
"ATX","ICE_PET","2045",27
"ATX","ICE_PET","2046",27
"ATX","ICE_PET","2047",27
"ATX","ICE_PET","2048",27
"ATX","ICE_PET","2049",27
"ATX","ICE_PET","2050",27
"ATX","ICE_DSL","2015",32
"ATX","ICE_DSL","2016",32
"ATX","ICE_DSL","2017",32
"ATX","ICE_DSL","2018",32
"ATX","ICE_DSL","2019",32
"ATX","ICE_DSL","2020",32
"ATX","ICE_DSL","2021",32
"ATX","ICE_DSL","2022",32
"ATX","ICE_DSL","2023",32
"ATX","ICE_DSL","2024",32
"ATX","ICE_DSL","2025",32
"ATX","ICE_DSL","2026",32
"ATX","ICE_DSL","2027",32
"ATX","ICE_DSL","2028",32
"ATX","ICE_DSL","2029",32
"ATX","ICE_DSL","2030",32
"ATX","ICE_DSL","2031",32
"ATX","ICE_DSL","2032",32
"ATX","ICE_DSL","2033",32
"ATX","ICE_DSL","2034",32
"ATX","ICE_DSL","2035",32
"ATX","ICE_DSL","2036",32
"ATX","ICE_DSL","2037",32
"ATX","ICE_DSL","2038",32
"ATX","ICE_DSL","2039",32
"ATX","ICE_DSL","2040",32
"ATX","ICE_DSL","2041",32
"ATX","ICE_DSL","2042",32
"ATX","ICE_DSL","2043",32
"ATX","ICE_DSL","2044",32
"ATX","ICE_DSL","2045",32
"ATX","ICE_DSL","2046",32
"ATX","ICE_DSL","2047",32
"ATX","ICE_DSL","2048",32
"ATX","ICE_DSL","2049",32
"ATX","ICE_DSL","2050",32
"ATX","PHEV","2015",37.5
"ATX","PHEV","2016",37.5
"ATX","PHEV","2017",37.5
"ATX","PHEV","2018",37.5
"ATX","PHEV","2019",37.5
"ATX","PHEV","2020",37.5
"ATX","PHEV","2021",37.5
"ATX","PHEV","2022",37.5
"ATX","PHEV","2023",37.5
"ATX","PHEV","2024",37.5
"ATX","PHEV","2025",37.5
"ATX","PHEV","2026",37.5
"ATX","PHEV","2027",37.5
"ATX","PHEV","2028",37.5
"ATX","PHEV","2029",37.5
"ATX","PHEV","2030",37.5
"ATX","PHEV","2031",37.5
"ATX","PHEV","2032",37.5
"ATX","PHEV","2033",37.5
"ATX","PHEV","2034",37.5
"ATX","PHEV","2035",37.5
"ATX","PHEV","2036",37.5
"ATX","PHEV","2037",37.5
"ATX","PHEV","2038",37.5
"ATX","PHEV","2039",37.5
"ATX","PHEV","2040",37.5
