"REGION","TECHNOLOGY","EMISSION","MODE_OF_OPERATION","YEAR","Val"
"ATX","ICE_PET","CO2","1","2036",0.000293
"ATX","ICE_PET","CO2","1","2037",0.000293
"ATX","ICE_PET","CO2","1","2038",0.000293
"ATX","ICE_PET","CO2","1","2039",0.000293
"ATX","ICE_PET","CO2","1","2040",0.000293
"ATX","ICE_PET","CO2","1","2041",0.000293
"ATX","ICE_PET","CO2","1","2042",0.000293
"ATX","ICE_PET","CO2","1","2043",0.000293
"ATX","ICE_PET","CO2","1","2044",0.000293
"ATX","ICE_PET","CO2","1","2045",0.000293
"ATX","ICE_PET","CO2","1","2046",0.000293
"ATX","ICE_PET","CO2","1","2047",0.000293
"ATX","ICE_PET","CO2","1","2048",0.000293
"ATX","ICE_PET","CO2","1","2049",0.000293
"ATX","ICE_PET","CO2","1","2050",0.000293
"ATX","ICE_DSL","CO2","1","2015",0.000276
"ATX","ICE_DSL","CO2","1","2016",0.000276
"ATX","ICE_DSL","CO2","1","2017",0.000276
"ATX","ICE_DSL","CO2","1","2018",0.000276
"ATX","ICE_DSL","CO2","1","2019",0.000276
"ATX","ICE_DSL","CO2","1","2020",0.000276
"ATX","ICE_DSL","CO2","1","2021",0.000276
"ATX","ICE_DSL","CO2","1","2022",0.000276
"ATX","ICE_DSL","CO2","1","2023",0.000276
"ATX","ICE_DSL","CO2","1","2024",0.000276
"ATX","ICE_DSL","CO2","1","2025",0.000276
"ATX","ICE_DSL","CO2","1","2026",0.000276
"ATX","ICE_DSL","CO2","1","2027",0.000276
"ATX","ICE_DSL","CO2","1","2028",0.000276
"ATX","ICE_DSL","CO2","1","2029",0.000276
"ATX","ICE_DSL","CO2","1","2030",0.000276
"ATX","ICE_DSL","CO2","1","2031",0.000276
"ATX","ICE_DSL","CO2","1","2032",0.000276
"ATX","ICE_DSL","CO2","1","2033",0.000276
"ATX","ICE_DSL","CO2","1","2034",0.000276
"ATX","ICE_DSL","CO2","1","2035",0.000276
"ATX","ICE_DSL","CO2","1","2036",0.000276
"ATX","ICE_DSL","CO2","1","2037",0.000276
"ATX","ICE_DSL","CO2","1","2038",0.000276
"ATX","ICE_DSL","CO2","1","2039",0.000276
"ATX","ICE_DSL","CO2","1","2040",0.000276
"ATX","ICE_DSL","CO2","1","2041",0.000276
"ATX","ICE_DSL","CO2","1","2042",0.000276
"ATX","ICE_DSL","CO2","1","2043",0.000276
"ATX","ICE_DSL","CO2","1","2044",0.000276
"ATX","ICE_DSL","CO2","1","2045",0.000276
"ATX","ICE_DSL","CO2","1","2046",0.000276
"ATX","ICE_DSL","CO2","1","2047",0.000276
"ATX","ICE_DSL","CO2","1","2048",0.000276
"ATX","ICE_DSL","CO2","1","2049",0.000276
"ATX","ICE_DSL","CO2","1","2050",0.000276
"ATX","PHEV","CO2","1","2015",0.000104
"ATX","PHEV","CO2","1","2016",0.000104
"ATX","PHEV","CO2","1","2017",0.000104
"ATX","PHEV","CO2","1","2018",0.000104
"ATX","PHEV","CO2","1","2019",0.000104
"ATX","PHEV","CO2","1","2020",0.000104
"ATX","PHEV","CO2","1","2021",0.000104
"ATX","PHEV","CO2","1","2022",0.000104
"ATX","PHEV","CO2","1","2023",0.000104
"ATX","PHEV","CO2","1","2024",0.000104
"ATX","PHEV","CO2","1","2025",0.000104
"ATX","PHEV","CO2","1","2026",0.000104
"ATX","PHEV","CO2","1","2027",0.000104
"ATX","PHEV","CO2","1","2028",0.000104
"ATX","PHEV","CO2","1","2029",0.000104
"ATX","PHEV","CO2","1","2030",0.000104
"ATX","PHEV","CO2","1","2031",0.000104
"ATX","PHEV","CO2","1","2032",0.000104
"ATX","PHEV","CO2","1","2033",0.000104
"ATX","PHEV","CO2","1","2034",0.000104
"ATX","PHEV","CO2","1","2035",0.000104
"ATX","PHEV","CO2","1","2036",0.000104
"ATX","PHEV","CO2","1","2037",0.000104
"ATX","PHEV","CO2","1","2038",0.000104
"ATX","PHEV","CO2","1","2039",0.000104
"ATX","PHEV","CO2","1","2040",0.000104
"ATX","PHEV","CO2","1","2041",0.000104
"ATX","PHEV","CO2","1","2042",0.000104
"ATX","PHEV","CO2","1","2043",0.000104
"ATX","PHEV","CO2","1","2044",0.000104
"ATX","PHEV","CO2","1","2045",0.000104
"ATX","PHEV","CO2","1","2046",0.000104
"ATX","PHEV","CO2","1","2047",0.000104
"ATX","PHEV","CO2","1","2048",0.000104
"ATX","PHEV","CO2","1","2049",0.000104
"ATX","PHEV","CO2","1","2050",0.000104
"ATX","HYBRID","CO2","1","2015",0.000194
"ATX","HYBRID","CO2","1","2016",0.000194
"ATX","HYBRID","CO2","1","2017",0.000194
"ATX","HYBRID","CO2","1","2018",0.000194
"ATX","HYBRID","CO2","1","2019",0.000194
"ATX","HYBRID","CO2","1","2020",0.000194
"ATX","HYBRID","CO2","1","2021",0.000194
"ATX","HYBRID","CO2","1","2022",0.000194
"ATX","HYBRID","CO2","1","2023",0.000194
"ATX","HYBRID","CO2","1","2024",0.000194
"ATX","HYBRID","CO2","1","2025",0.000194
"ATX","HYBRID","CO2","1","2026",0.000194
"ATX","HYBRID","CO2","1","2027",0.000194
"ATX","HYBRID","CO2","1","2028",0.000194
"ATX","HYBRID","CO2","1","2029",0.000194
"ATX","HYBRID","CO2","1","2030",0.000194
"ATX","HYBRID","CO2","1","2031",0.000194
"ATX","HYBRID","CO2","1","2032",0.000194
"ATX","HYBRID","CO2","1","2033",0.000194
"ATX","HYBRID","CO2","1","2034",0.000194
"ATX","HYBRID","CO2","1","2035",0.000194
"ATX","HYBRID","CO2","1","2036",0.000194
"ATX","HYBRID","CO2","1","2037",0.000194
"ATX","HYBRID","CO2","1","2038",0.000194
"ATX","HYBRID","CO2","1","2039",0.000194
"ATX","HYBRID","CO2","1","2040",0.000194
"ATX","HYBRID","CO2","1","2041",0.000194
"ATX","HYBRID","CO2","1","2042",0.000194
"ATX","HYBRID","CO2","1","2043",0.000194
"ATX","HYBRID","CO2","1","2044",0.000194
"ATX","HYBRID","CO2","1","2045",0.000194
"ATX","HYBRID","CO2","1","2046",0.000194
"ATX","HYBRID","CO2","1","2047",0.000194
"ATX","HYBRID","CO2","1","2048",0.000194
"ATX","HYBRID","CO2","1","2049",0.000194
"ATX","HYBRID","CO2","1","2050",0.000194
"ATX","ICE_PET_F","CO2","1","2015",0.000293
"ATX","ICE_PET_F","CO2","1","2016",0.000293
"ATX","ICE_PET_F","CO2","1","2017",0.000293
"ATX","ICE_PET_F","CO2","1","2018",0.000293
"ATX","ICE_PET_F","CO2","1","2019",0.000293
"ATX","ICE_PET_F","CO2","1","2020",0.000293
"ATX","ICE_PET_F","CO2","1","2021",0.000293
"ATX","ICE_PET_F","CO2","1","2022",0.000293
"ATX","ICE_PET_F","CO2","1","2023",0.000293
"ATX","ICE_PET_F","CO2","1","2024",0.000293
"ATX","ICE_PET_F","CO2","1","2025",0.000293
"ATX","ICE_PET_F","CO2","1","2026",0.000293
"ATX","ICE_PET_F","CO2","1","2027",0.000293
"ATX","ICE_PET_F","CO2","1","2028",0.000293
"ATX","ICE_PET_F","CO2","1","2029",0.000293
"ATX","ICE_PET_F","CO2","1","2030",0.000293
"ATX","ICE_PET_F","CO2","1","2031",0.000293
"ATX","ICE_PET_F","CO2","1","2032",0.000293
"ATX","ICE_PET_F","CO2","1","2033",0.000293
"ATX","ICE_PET_F","CO2","1","2034",0.000293
"ATX","ICE_PET_F","CO2","1","2035",0.000293
"ATX","ICE_PET_F","CO2","1","2036",0.000293
