scenario,quantity,region,technology,year,season,timeslice,value
1,Electricity Production,ATX,EV_DISCHARGE,2020,WINTER,W17,0.0
1,Electricity Production,ATX,EV_DISCHARGE,2020,WINTER,W18,0.0
1,Electricity Production,ATX,EV_DISCHARGE,2020,WINTER,W19,0.0
1,Electricity Production,ATX,EV_DISCHARGE,2020,WINTER,W20,0.0
1,Electricity Production,ATX,EV_DISCHARGE,2020,WINTER,W21,0.0
1,Electricity Production,ATX,EV_DISCHARGE,2020,WINTER,W22,0.0
1,Electricity Production,ATX,EV_DISCHARGE,2020,WINTER,W23,0.0
1,Electricity Production,ATX,EV_DISCHARGE,2020,WINTER,W24,0.0
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W1,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W2,0.0
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W3,0.02
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W4,0.0
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W5,0.02
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W6,0.0
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W7,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W8,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W9,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W10,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W11,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W12,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W13,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W14,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W15,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W16,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W17,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W18,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W19,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W20,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W21,0.01
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W22,0.0
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W23,0.0
1,Electricity Production,ATX,EV_CHARGE_F,2020,WINTER,W24,0.02
1,Electricity Production,ATX,V2G_F,2020,WINTER,W1,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W2,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W3,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W4,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W5,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W6,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W7,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W8,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W9,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W10,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W11,0.0
1,Electricity Production,ATX,V2G_F,2020,WINTER,W12,0.0
