scenario,quantity,region,technology,item,year,value
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2025,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2026,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2027,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2028,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2029,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2030,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2031,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2032,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2033,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2034,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2035,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2036,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2037,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2038,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2039,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2040,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2041,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2042,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2043,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2044,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2045,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2046,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2047,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2048,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2049,0.0
4,AnnualEmissions,ATX,HYBRID_PUB,CO2,2050,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2015,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2016,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2017,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2018,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2019,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2020,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2021,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2022,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2023,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2024,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2025,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2026,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2027,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2028,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2029,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2030,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2031,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2032,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2033,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2034,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2035,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2036,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2037,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2038,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2039,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2040,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2041,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2042,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2043,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2044,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2045,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2046,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2047,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2048,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2049,0.0
4,AnnualEmissions,ATX,BIO_DSL_PUB,CO2,2050,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2015,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2016,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2017,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2018,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2019,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2020,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2021,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2022,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2023,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2024,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2025,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2026,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2027,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2028,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2029,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2030,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2031,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2032,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2033,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2034,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2035,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2036,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2037,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2038,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2039,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2040,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2041,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2042,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2043,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2044,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2045,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2046,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2047,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2048,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2049,0.0
4,AnnualEmissions,ATX,ELCTROL,CO2,2050,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2015,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2016,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2017,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2018,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2019,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2020,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2021,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2022,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2023,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2024,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2025,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2026,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2027,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2028,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2029,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2030,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2031,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2032,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2033,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2034,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2035,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2036,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2037,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2038,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2039,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2040,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2041,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2042,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2043,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2044,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2045,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2046,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2047,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2048,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2049,0.0
4,AnnualEmissions,ATX,GASREF,CO2,2050,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2015,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2016,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2017,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2018,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2019,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2020,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2021,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2022,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2023,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2024,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2025,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2026,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2027,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2028,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2029,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2030,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2031,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2032,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2033,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2034,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2035,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2036,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2037,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2038,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2039,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2040,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2041,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2042,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2043,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2044,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2045,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2046,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2047,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2048,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2049,0.0
4,AnnualEmissions,ATX,BIOGAS,CO2,2050,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2015,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2016,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2017,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2018,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2019,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2020,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2021,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2022,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2023,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2024,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2025,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2026,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2027,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2028,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2029,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2030,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2031,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2032,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2033,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2034,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2035,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2036,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2037,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2038,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2039,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2040,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2041,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2042,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2043,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2044,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2045,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2046,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2047,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2048,0.0
